,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,target_actual,fp,cluster
3025,3025,CHEMBL1917449,0.4,CC(=O)Nc1cccc2c1c(c(C)n2CC(=O)O)S(=O)(=O)c3ccc(Cl)cc3,1,1,[0 0 0 ... 1 0 0],14
3031,3031,CHEMBL1917454,1.26,Cc1c(Oc2ccc(Cl)cc2)c3cc(F)ccc3n1CC(=O)O,1,1,[0 0 0 ... 0 0 0],14
3134,3134,CHEMBL1917458,0.29,CCS(=O)(=O)c1ccc(Oc2c(C)n(CC(=O)O)c3ccc(cc23)C(F)(F)F)cc1,1,1,[0 0 0 ... 0 0 0],14
3194,3194,CHEMBL1917425,2.15,Cc1c(Sc2ccc(Cl)cc2)c3c(Cl)cccc3n1CC(=O)O,1,1,[0 0 0 ... 0 0 0],14
3199,3199,CHEMBL1917443,-0.08,Cc1ccc2c(c1)c(Sc3ccc(cc3)S(=O)(=O)C)c(C)n2CC(=O)O,1,1,[0 0 0 ... 0 0 0],14
3352,3352,CHEMBL1917456,-0.98,Cc1c(Oc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O,0,0,[0 0 0 ... 0 0 0],14
3373,3373,CHEMBL1917432,0.58,Cc1c(Sc2ccc(Cl)cc2)c3c(cccc3n1CC(=O)O)S(=O)(=O)C,1,1,[0 0 0 ... 0 0 0],14
3414,3414,CHEMBL1917435,-0.89,CNC(=O)c1cccc2c1c(Sc3ccc(Cl)cc3)c(C)n2CC(=O)O,0,0,[0 0 0 ... 0 0 0],14
3463,3463,CHEMBL1917434,1.61,CCN(C(=O)C)c1cccc2c1c(Sc3ccc(Cl)cc3)c(C)n2CC(=O)O,1,1,[0 0 0 ... 0 0 0],14
4021,4021,CHEMBL209689,1.29,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(C)cccc34,1,1,[0 0 0 ... 0 0 0],14
4115,4115,CHEMBL1917428,1.6,Cc1c(Sc2ccc(Cl)cc2)c3c(C#N)c(Cl)ccc3n1CC(=O)O,1,1,[0 0 0 ... 0 0 0],14
232,232,CHEMBL1762545,3.9,COc1cc(Nc2nccc(n2)N(C)c3cc(CO)ccc3C)cc(c1)N4CCOCC4,1,1,[0 0 0 ... 0 0 0],15
487,487,CHEMBL1762537,4.2,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 1 ... 0 0 0],15
529,529,CHEMBL1762541,3.0,CN(c1ccnc(Nc2cc(CN3CCOCC3)cc(c2)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
569,569,CHEMBL1762539,2.61,CN(c1ccnc(Nc2cc(cc(c2)N3CCN(C)CC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
887,887,CHEMBL1762521,3.47,CN(c1ccccc1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,1,1,[0 0 0 ... 0 0 0],15
925,925,CHEMBL1762536,3.8,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
1482,1482,CHEMBL1762546,2.9,CN(c1ccnc(Nc2cc(cc(c2)S(=O)(=O)C)N3CCOCC3)n1)c4cc(CO)ccc4C,1,1,[0 0 0 ... 0 0 0],15
1619,1619,CHEMBL1762533,2.23,COc1ccnc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,1,1,[0 0 0 ... 0 0 0],15
1649,1649,CHEMBL1762527,3.18,COc1ccc(C)c(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,1,1,[0 0 0 ... 0 0 0],15
1652,1652,CHEMBL1762530,2.94,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
1687,1687,CHEMBL1762529,3.0,COc1cc(CO)cc(c1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,1,1,[0 0 0 ... 0 0 0],15
2248,2248,CHEMBL1762528,2.6,CN(c1cccc(CO)c1)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,1,1,[0 0 0 ... 0 0 0],15
2348,2348,CHEMBL1762548,3.9,CC(C)N(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 1 0 ... 0 0 0],15
2380,2380,CHEMBL1762543,3.7,CN(c1ccnc(Nc2cc(OC3CCOCC3)cc(c2)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
2479,2479,CHEMBL1762550,3.44,CN(c1ccnc(Nc2cc(nc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
2551,2551,CHEMBL1762547,3.8,CCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
2619,2619,CHEMBL1762534,3.37,COc1cccc(n1)N(C)c2ccnc(Nc3cc(cc(c3)N4CCOCC4)N5CCOCC5)n2,1,1,[0 0 0 ... 0 0 0],15
3586,3586,CHEMBL1762542,2.2,CN(c1ccnc(Nc2cc(cc(c2)C(=O)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
3654,3654,CHEMBL1269858,3.23,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cccc6[nH]ncc56,1,1,[0 0 0 ... 0 0 0],15
3676,3676,CHEMBL1762538,3.3,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
3863,3863,CHEMBL1762544,3.3,COCCOc1cc(Nc2nccc(n2)N(C)c3cc(CO)ccc3C)cc(c1)N4CCOCC4,1,1,[0 0 0 ... 0 0 0],15
3902,3902,CHEMBL1762549,2.8,COCCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
3936,3936,CHEMBL1762551,3.9,CN(c1ccnc(Nc2cc(nc(n2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0],15
73,73,CHEMBL190812,2.91,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,1,1,[0 1 0 ... 0 0 0],16
115,115,CHEMBL190747,3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,1,1,[0 0 0 ... 0 0 0],16
186,186,CHEMBL1471868,3.19,Fc1ccc(NC(=O)c2cccnc2Oc3ccccc3)cc1,1,1,[0 0 0 ... 0 0 0],16
1024,1024,CHEMBL188369,3.14,C[C@@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,1,1,[0 1 0 ... 0 0 0],16
1369,1369,CHEMBL199237,2.7,O=C(NCc1ccccn1)c2ccc(Oc3ccccc3)cc2,1,1,[0 0 0 ... 0 0 0],16
1459,1459,CHEMBL188504,3.59,COc1ccc(Oc2ncccc2C(=O)NCc3ccccc3Cl)cc1,1,1,[0 0 0 ... 0 0 0],16
1551,1551,CHEMBL191553,3.03,CC(=O)Nc1ccc(CNc2[nH]nc3ccnc(Oc4ccccc4)c23)cc1,1,1,[0 0 0 ... 0 0 0],16
1708,1708,CHEMBL187845,3.58,Clc1ccccc1CNC(=O)c2ccccc2Oc3ccccc3,1,1,[0 0 0 ... 0 0 0],16
1722,1722,CHEMBL186995,3.68,Clc1ccccc1CNC(=O)c2cccnc2Oc3ccccc3,1,1,[0 0 0 ... 0 0 0],16
3179,3179,CHEMBL1431859,1.13,NC(=O)c1cccnc1Oc2ccccc2,1,1,[0 0 0 ... 0 0 0],16
3583,3583,CHEMBL168418,3.0,O=C(NCc1ccccc1)c2cccnc2Oc3ccccc3,1,1,[0 0 0 ... 0 0 0],16
4027,4027,CHEMBL407960,4.25,COc1ccc(OC)c(CNc2n[nH]c3ccnc(Oc4ccccc4)c23)c1,1,1,[0 0 0 ... 0 0 0],16
69,69,CHEMBL247367,2.33,Clc1cccc2cn[nH]c12,1,1,[0 0 0 ... 0 0 0],17
151,151,CHEMBL1909734,2.68,Clc1ccccc1c2cnn[nH]2,1,1,[0 0 0 ... 0 0 0],17
248,248,CHEMBL1467,-0.42,O=C1NC=Nc2[nH]ncc12,0,0,[0 0 0 ... 0 0 0],17
327,327,CHEMBL2216859,3.49,CC(C)N1CCN(Cc2oc(nc2)c3cc(cc4[nH]ncc34)c5cccc6[nH]ccc56)CC1,1,1,[0 1 1 ... 0 0 0],17
390,390,CHEMBL2325014,2.3,Nc1[nH]ncc1c2cc(Cl)ccc2Oc3cc(F)c(cc3Cl)S(=O)(=O)Nc4cscn4,1,1,[0 0 0 ... 0 0 0],17
1227,1227,CHEMBL492112,4.03,O=C(CC12CC3CC(CC(C3)C1)C2)Nc4ccc5[nH]ncc5c4,1,1,[0 0 0 ... 0 0 0],17
1316,1316,CHEMBL1571558,1.1,Nc1[nH]ncc1S(=O)(=O)c2ccccc2,1,1,[0 0 0 ... 0 0 0],17
1324,1324,CHEMBL247366,2.3,Fc1ccc2cn[nH]c2c1,1,1,[0 0 0 ... 0 0 0],17
1402,1402,CHEMBL1980161,1.7,Nc1n[nH]c2c(Cl)cccc12,1,1,[0 0 0 ... 0 0 0],17
1547,1547,CHEMBL246746,2.44,Clc1ccc2[nH]ncc2c1,1,1,[0 0 0 ... 0 0 0],17
1575,1575,CHEMBL165372,2.2,[O-][N+](=O)c1ccc2[nH]ncc2c1,1,1,[0 0 0 ... 0 0 0],17
1897,1897,CHEMBL86795,1.9,c1ccc2[nH]ncc2c1,1,1,[0 0 0 ... 0 0 0],17
2334,2334,CHEMBL246533,2.5,Clc1cccc2[nH]ncc12,1,1,[0 0 0 ... 0 0 0],17
3243,3243,CHEMBL2216839,4.01,C[C@@H]1CN(Cc2oc(nn2)c3cc(cc4[nH]ncc34)c5cccc6[nH]ccc56)C[C@H](C)O1,1,1,[0 0 1 ... 0 0 0],17
4145,4145,CHEMBL1527495,1.7,O=S(=O)(Nc1cccc2[nH]ncc12)c3cccs3,1,1,[0 0 0 ... 0 0 0],17
4150,4150,CHEMBL594707,0.52,Nc1ccc2cn[nH]c2c1,1,1,[0 0 0 ... 0 0 0],17
4197,4197,CHEMBL15932,2.1,COc1cccc2[nH]ncc12,1,1,[0 0 0 ... 0 0 0],17
13,13,CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,1,1,[0 0 0 ... 0 0 0],18
557,557,CHEMBL2153184,2.61,CCCSc1nc(NC[C@@H]2CC[C@H](CC2)C(=O)O)ccc1C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
576,576,CHEMBL2153304,2.28,CCCN(C)c1nc(ccc1C(=O)NC2CCCCC2)N3CCC[C@@H](CC(=O)O)C3,1,1,[0 0 1 ... 0 0 0],18
687,687,CHEMBL1870155,3.01,O=C(NC1CCCCC1)c2cccnc2Sc3ccccc3,1,1,[0 0 1 ... 0 0 0],18
818,818,CHEMBL2177614,0.59,CCCSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)N(C)C3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
826,826,CHEMBL2153179,2.49,CCCSc1ncccc1C(=O)N(C)[C@@H]2[C@@H]3CC4C[C@H]2C[C@@](O)(C4)C3,1,1,[0 0 0 ... 0 0 0],18
863,863,CHEMBL2153173,3.24,CCCSc1ncccc1C(=O)NC2CCCCC2,1,1,[0 0 1 ... 0 0 0],18
1132,1132,CHEMBL2153188,1.72,CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCCC(C3)C(=O)O,1,1,[0 0 1 ... 0 0 0],18
1163,1163,CHEMBL2153180,2.48,CCCSc1ncccc1C(=O)N(C)[C@H]2[C@@H]3CC4C[C@H]2C[C@@](O)(C4)C3,1,1,[0 0 0 ... 0 0 0],18
1714,1714,CHEMBL2177611,1.39,CCCSc1c(cnn1[C@@H]2CC[C@@H](CC2)C(=O)O)C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
1767,1767,CHEMBL2153183,2.02,CCCSc1nc(N[C@@H]2CC[C@H](CC2)C(=O)O)ccc1C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
1923,1923,CHEMBL2177606,1.72,OC(=O)c1ccc(cc1)n2ncc(C(=O)NC3C4CC5CC(CC3C5)C4)c2C6CCCC6,1,1,[0 0 0 ... 0 0 0],18
2006,2006,CHEMBL2153190,2.18,CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCC[C@H](CC(=O)O)C3,1,1,[0 0 1 ... 0 0 0],18
2008,2008,CHEMBL2153187,1.36,CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCCCC3C(=O)O,1,1,[0 0 1 ... 0 0 0],18
2326,2326,CHEMBL2158466,3.27,CCCSc1nc(NC)ccc1C(=O)N[C@@H]2C3CC4CC2C[C@@](O)(C4)C3,1,1,[0 0 0 ... 0 0 0],18
2626,2626,CHEMBL2153176,2.85,CCCSc1ncccc1C(=O)NC2CCC(F)(F)CC2,1,1,[0 0 0 ... 0 0 0],18
2662,2662,CHEMBL2153175,3.36,CCCSc1ncccc1C(=O)N(C)C2CCCCC2,1,1,[0 0 1 ... 0 0 0],18
2666,2666,CHEMBL2177110,0.7,CCCSc1c(cnn1c2cccc(c2)C(=O)O)C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
2784,2784,CHEMBL2158470,3.2,CCCSc1nc(ccc1C(=O)N[C@@H]2C3CC4CC2C[C@@](O)(C4)C3)N5CCOCC5,1,1,[0 0 0 ... 0 0 0],18
2799,2799,CHEMBL2153178,2.27,CCCSc1ncccc1C(=O)N[C@@H]2[C@@H]3CC4C[C@H]2C[C@@](O)(C4)C3,1,1,[0 0 0 ... 0 0 0],18
2862,2862,CHEMBL2153189,1.6,CCCSc1nc(ccc1C(=O)NC2CCCCC2)N3CCC(CC3)C(=O)O,1,1,[0 0 1 ... 0 0 0],18
3026,3026,CHEMBL2153303,2.33,CCCNc1nc(ccc1C(=O)NC2CCCCC2)N3CCC[C@@H](CC(=O)O)C3,1,1,[0 0 1 ... 0 0 0],18
3053,3053,CHEMBL2153302,2.81,CCCOc1nc(ccc1C(=O)NC2CCCCC2)N3CCC[C@@H](CC(=O)O)C3,1,1,[0 0 1 ... 0 0 0],18
3120,3120,CHEMBL2153177,1.63,CCCSc1ncccc1C(=O)N(C)C2CCOCC2,1,1,[0 0 0 ... 0 0 0],18
3486,3486,CHEMBL2177610,2.99,CCCSc1c(cnn1C)C(=O)NC2CCCCC2,1,1,[0 0 1 ... 0 0 0],18
3597,3597,CHEMBL2177605,1.33,OC(=O)c1ccc(cc1)n2ncc(C(=O)NC3C4CC5CC(CC3C5)C4)c2C6CCC6,1,1,[0 0 0 ... 0 0 0],18
3752,3752,CHEMBL2177612,1.03,CCCSc1c(cnn1[C@@H]2CC[C@H](CC2)C(=O)O)C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
3798,3798,CHEMBL2153185,1.79,CCCSc1nc(Oc2ccc(CC(=O)O)cc2)ccc1C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
4142,4142,CHEMBL2177613,0.64,CCCSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0],18
11,11,CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,1,1,[0 1 0 ... 0 0 0],19
218,218,CHEMBL576068,1.73,C[C@H](Nc1cnc(C)c(Nc2cc(C)[nH]n2)n1)c3ccc(F)cn3,1,1,[0 1 0 ... 0 0 0],19
291,291,CHEMBL575448,3.16,C[C@]1(CCCN1c2nc(Nc3cc([nH]n3)C4CC4)c5cccn5n2)C(=O)Nc6ccc(F)nc6,1,1,[0 0 0 ... 0 0 0],19
823,823,CHEMBL456985,2.23,CNC(=O)C[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cc4,1,1,[0 1 0 ... 0 0 0],19
1182,1182,CHEMBL2151322,2.79,CC(C)Oc1cc(n[nH]1)n2cnc3ccc(N[C@@H](CO)c4ccc(F)cn4)nc23,1,1,[0 1 0 ... 0 0 0],19
1232,1232,CHEMBL2151324,2.97,CC(C)Oc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,1,1,[0 1 0 ... 1 0 0],19
1238,1238,CHEMBL514257,3.75,OC[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cc4,1,1,[0 1 0 ... 0 0 0],19
2146,2146,CHEMBL515062,2.77,CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)nc(OC(CO)CO)c2Cl)n[nH]1,1,1,[0 1 0 ... 0 0 0],19
2193,2193,CHEMBL576257,2.51,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)cnc1C#N)c3ccc(F)cn3,1,1,[0 1 0 ... 0 0 0],19
2557,2557,CHEMBL571526,2.72,C[C@@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,1,1,[0 1 0 ... 0 0 0],19
2652,2652,CHEMBL1774056,3.11,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(F)cc1C#N)c3ccc(F)cn3,1,1,[0 1 0 ... 0 0 0],19
2715,2715,CHEMBL2151325,2.55,CCOc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,1,1,[0 1 0 ... 1 0 0],19
3768,3768,CHEMBL457393,3.14,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cn4,1,1,[0 1 0 ... 0 0 0],19
3953,3953,CHEMBL578194,3.18,C[C@H](Nc1nc(Nc2cc([nH]n2)C3CC3)cnc1C#N)c4ccc(F)cn4,1,1,[0 1 0 ... 0 0 0],19
4013,4013,CHEMBL570192,2.86,C[C@H](Oc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,1,1,[0 1 0 ... 0 0 0],19
4164,4164,CHEMBL2151326,2.18,COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,1,1,[0 1 0 ... 1 0 0],19
67,67,CHEMBL299672,3.13,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,1,1,[0 0 0 ... 0 0 0],20
94,94,CHEMBL1852688,3.7,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,1,1,[0 0 0 ... 0 0 0],20
156,156,CHEMBL1940108,3.11,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1,1,1,[0 0 0 ... 0 0 0],20
167,167,CHEMBL256576,2.82,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6,1,1,[0 1 0 ... 0 1 0],20
169,169,CHEMBL150606,3.2,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn4cncn4,1,1,[1 0 0 ... 0 0 0],20
314,314,CHEMBL426161,2.0,COc1ccc(Cl)c(Nc2ncnc3cc(OCC4CCN(C)CC4)c(OC)cc23)c1,1,1,[0 0 0 ... 0 0 0],20
331,331,CHEMBL2023802,3.29,CCOc1cc2nccc(Oc3cnc(CC(=O)Nc4n[nH]c(CC)c4C)c(OC)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
334,334,CHEMBL184659,2.7,COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)c2cc1OCCN6CCCC6,1,1,[0 0 0 ... 0 0 0],20
357,357,CHEMBL428777,3.67,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,1,1,[0 1 0 ... 0 0 0],20
368,368,CHEMBL250132,3.22,C[C@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,1,1,[0 1 0 ... 0 0 0],20
398,398,CHEMBL2023801,2.79,CCc1[nH]nc(NC(=O)Cc2ncc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)c1C,1,1,[0 0 0 ... 0 0 0],20
446,446,CHEMBL383760,3.65,CNC(=O)[C@H]1CCCN1Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC,1,1,[0 0 0 ... 0 0 0],20
450,450,CHEMBL2110732,4.1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN4CCCCC4,1,1,[0 0 1 ... 0 0 0],20
469,469,CHEMBL329672,3.9,Clc1cccc(Nc2ncnc3ccccc23)c1,1,1,[0 0 0 ... 0 0 0],20
555,555,CHEMBL201307,2.89,COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)ncnc2cc1OCCCN5CCC(CO)CC5,1,1,[0 0 0 ... 0 0 0],20
593,593,CHEMBL371888,3.6,COc1cc2ncnc(Nc3ccc(OCc4ccccn4)c(C)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
596,596,CHEMBL216769,2.11,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN5CCC(CO)CC5,1,1,[0 0 0 ... 0 0 0],20
609,609,CHEMBL411799,3.6,COc1cc(Nc2ncnc3cccc(O[C@H](C)C(=O)N4CCOCC4)c23)ccc1Oc5ccc(C)nc5,1,1,[0 1 0 ... 0 0 0],20
656,656,CHEMBL235851,3.3,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
681,681,CHEMBL219445,4.04,COc1cc2ncnc(N3CC[C@H](C3)Oc4cnc5ccccc5n4)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
697,697,CHEMBL216749,2.7,COc1cc2c(NC(=O)Nc3c(Cl)cccc3Cl)ncnc2cc1OCC4CCN(C)CC4,1,1,[0 0 0 ... 0 0 0],20
865,865,CHEMBL184271,3.19,COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)c2cc1OCCN6CCOCC6,1,1,[0 0 0 ... 0 0 0],20
889,889,CHEMBL91428,3.9,COc1cc2ncnc(Nc3cc4ccccc4cn3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
949,949,CHEMBL402553,2.87,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc5ccccn5,1,1,[0 0 0 ... 0 0 0],20
1106,1106,CHEMBL249927,3.71,OCC(=O)N1CCC[C@@H]1COc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23,1,1,[0 0 0 ... 0 0 0],20
1112,1112,CHEMBL187007,4.26,COc1cc2ncnc(Nc3cc(NC(=O)c4cccc(c4)N(C)C)ccc3Cl)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
1134,1134,CHEMBL517544,3.5,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
1303,1303,CHEMBL218677,3.1,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(CC(=O)N)CC4,1,1,[0 0 0 ... 0 0 0],20
1336,1336,CHEMBL2333993,2.22,COc1cc2ncnc(Nc3ccncc3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
1350,1350,CHEMBL300791,3.3,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CCN(C)CC4,1,1,[0 0 0 ... 0 0 0],20
1398,1398,CHEMBL207687,3.42,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(=O)N,1,1,[0 1 0 ... 0 0 0],20
1479,1479,CHEMBL2023117,3.42,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)cn1,1,1,[0 0 0 ... 0 0 0],20
1526,1526,CHEMBL482000,3.22,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
1627,1627,CHEMBL568011,3.83,COc1cc(cc(OC)c1OC)C(=O)Nc2ccc(Cl)c(c2)c3nc4ccccc4[nH]3,1,1,[0 0 0 ... 0 0 0],20
1641,1641,CHEMBL553,3.35,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,1,1,[0 0 0 ... 0 0 0],20
1642,1642,CHEMBL1173655,3.7,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,1,1,[0 0 0 ... 0 0 0],20
1715,1715,CHEMBL288441,3.5,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl,1,1,[0 0 0 ... 0 0 0],20
1790,1790,CHEMBL2023474,3.93,CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(F)ccc34)cc2OC)cn1,1,1,[0 0 0 ... 0 0 0],20
1813,1813,CHEMBL188167,3.35,COc1cc2ncnc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)c2cc1OCCN6CCCCC6,1,1,[0 0 1 ... 0 0 0],20
1826,1826,CHEMBL127907,2.6,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
1881,1881,CHEMBL258313,3.56,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)CCO,1,1,[0 1 0 ... 0 0 0],20
1986,1986,CHEMBL56802,3.5,COc1cc2ncnc(Nc3cccc(C)c3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
1995,1995,CHEMBL215022,2.06,OC[C@H]1CCCN1CCCOc2ccc3c(Nc4cc(CC(=O)Nc5cccc(F)c5F)[nH]n4)ncnc3c2,1,1,[0 0 0 ... 0 0 0],20
2039,2039,CHEMBL94191,3.04,COc1cc2ncnc(Nc3ccccc3)c2cc1OC,1,1,[0 0 0 ... 0 0 0],20
2056,2056,CHEMBL208292,3.58,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN4CCC[C@@H]4C(=O)N,1,1,[0 0 0 ... 0 0 0],20
2132,2132,CHEMBL1907764,3.05,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@@H]4CCCN(C)C4,1,1,[0 0 0 ... 0 0 0],20
2179,2179,CHEMBL387265,2.82,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,1,1,[0 0 0 ... 0 0 0],20
2238,2238,CHEMBL404327,2.81,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5cscn5)c3)c12)C(=O)N6CCOCC6,1,1,[0 1 0 ... 0 1 0],20
